"","Name","Grade","Area","Country","First.Ascensionist","FA.date","Climber","Date","Style","Note","Source"
"110","Ali Hulk (sitstart)","9a+","Rodellar","Spain","Dani Andrada","2006-09-11","Dani Andrada","2006-09-11","Redpoint","",""
"111","Ali Hulk (sitstart)","9a+","Rodellar","Spain","Dani Andrada","2006-09-11","Magnus Midtbø","2010","Redpoint","",""
"112","All you can eat","9a+","Mount Potasi","United States","Jonathan Siegrist","2019-03-29","Jonathan Siegrist","2019-03-29","Redpoint","",""
"113","Apocalipsis de la Gioconda","9a+","Rodellar","Spain","Jonatan Flor","2019-08-26","Jonatan Flor","2019-08-26","Redpoint","Originally given 9b downgraded by 2nd ascensionist",""
"114","Apocalipsis de la Gioconda","9a+","Rodellar","Spain","Jonatan Flor","2019-08-26","Jose Luis Palao","2020-06-29","Redpoint","Downgraded to 9a+ from 9b",""
"115","Apocalipsis de la Gioconda","9a+","Rodellar","Spain","Jonatan Flor","2019-08-26","Jorge Díaz-Rullo","2020-08-18","Redpoint","Agrees with 9a+","https://www.desnivel.com/escalada-roca/jorge-diaz-rullo-tacha-apocalipsis-de-la-gioconda-9a-en-rodellar/"
"116","Ataxia Extension","9a+","Crevillent","Spain","Jonathan Guadalcázar","2019-10","Jonathan Guadalcázar","2019-10","Redpoint","",""
"117","Aubade directe","9a+","Montagne Sainte-Victoire","France","Gérôme Pouvreau","2010-09-27","Gérôme Pouvreau","2010-09-27","Redpoint","",""
"118","Aubade directe","9a+","Montagne Sainte-Victoire","France","Gérôme Pouvreau","2010-09-27","Enzo Oddo","2011-05-10","Redpoint","",""
"119","Aubade directe","9a+","Montagne Sainte-Victoire","France","Gérôme Pouvreau","2010-09-27","Anatole Bosio","2020-10-11","Redpoint","","https://www.grimper.com/news-anatole-bosio-coche-9a-mythique-sainte-victoire"
"120","Becoming","9a+","Frankenjura","Germany","Markus Bock","2014-06-30","Markus Bock","2014-06-30","Redpoint","",""
"121","Becoming","9a+","Frankenjura","Germany","Markus Bock","2014-06-30","Alexander Megos","2016-10","Redpoint","",""
"122","Big men","9a+","Fraguel","Spain","Iker Pou","2015-04","Iker Pou","2015-04","Redpoint","",""
"123","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Chris Sharma","2002-07-18","Redpoint","",""
"124","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Sylvain Millet","2004-05-24","Redpoint","",""
"125","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Patxi Usobiaga","2004-07-29","Redpoint","",""
"126","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Dave Graham","2007-07-30","Redpoint","",""
"127","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Ethan Pringle","2007-09-03","Redpoint","",""
"128","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Ramón Julián Puigblanqué","2008-07-28","Redpoint","",""
"129","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Enzo Oddo","2010-08-17","Redpoint","",""
"130","Biographie/Realization","9a+","Céüse","France","Chris Sharma","2002-07-18","Jonathan Siegrist","2014-06-01","Redpoint","",""
